id,title,description,authors,image,publisher,published_at,categories
85481,The Ego and the Dynamic Ground: A Transpersonal Theory of Human Development,This book maps the course of human development from the earliest stages of ego development to the highest stages of ego transcendence.,Michael Washburn,http://books.google.com/books/content?id=iIzLXwFW1-4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,SUNY Press,1995-01-25,Psychology
52943,The Crucified Jew: Twenty Centuries of Christian Anti-Semitism,"Originally published in Great Britain in 1992 by Harper CollinsReligious, London. Surveys the persecution of Jews from ancient times to the present, focusing on how the seeds of anti- Semitism were sown in Christian sources and nurtured throughout the history of the Church. The author's goal is to improve hopes for the future by encouraging both Jews and Christians to understand the tradition they have inherited. Annotation copyrighted by Book News, Inc., Portland, OR",Dan Cohn-Sherbok,http://books.google.com/books/content?id=ZudtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Eerdmans Publishing Company,1997,Religion
2586,Terrorism Factbook: Our Nation at War!,This revised and updated second edition of a major reference work in the area contains definitions and descriptions of all aspects of terrorism and political violence.,John Richard Thackrah,http://books.google.com/books/content?id=Fc-3AAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Routledge,2013-09-05,Political Science
49483,Chronicle of the Seven Sorrows,"Chronicle of the Seven Sorrows traces the rise and fall of Pipi Soleil, ?king of the wheelbarrow? at the vegetable market of Fort-de-France, in a tale as lively and magical as the marketplace itself. In a Martinique where creatures from folklore walk the land and cultural traditions cling tenuously to life, Patrick Chamoiseau?s characters confront the crippling heritage of colonialism and the overwhelming advance of modernization with touching dignity, hilarious resourcefulness, and truly courageous joie de vivre.",Patrick Chamoiseau,http://books.google.com/books/content?id=qzJg7ej2LjAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,U of Nebraska Press,2003-05-01,Fiction
122268,Single-handed passage,"Temptress sail plan. Total sail area 600 square feet. SINGLE-HANDED PASSAGE By EDWARD C. ALLCARD W W NORTON 6-COMPANY INC New York TO K., D. 5 and C. CONTENTS 1. ENGLAND II 2. FAIR WINDS ... 20 3. ... AND FOUL 27 4. SPANISH WATERS 38 5. SPAIN 46 6. PORTUGAL 60 7. PORTUGUESE WATERS TO 8. THE STRAITS 81 9. GIBRALTAR 91 10. CONCLUSIONS 102 11. FIRST WEEK US 12. LAND SIGHTED 124 13. OFF PALM A 135 14. TAKEN SERIOUSLY 140 15. TRADE WINDS 145 16. GETTING ON 152 17. BECALMED 159 18. HALFWAY WEEK 166 19. TWO SUNDAYS 172 20. SARGASSO SEA 180 21. TOIL AND TROUBLE 186 22. HORSE LATITUDES 196 23. HEAVY WEATHER 201 24. AMERICA 208 APPENDIX 215 BEAUFORT SCALE OF WIND FORCE 223 ILLUSTRATIONS. Temptress 9 sail plan. Frontispiece Temptress 9 cabin and deck arrangement. 14 Temptress lines. 16 A French tunnyman in the Bay of Biscay. Facing page 64 . . . Gigantic swell, Bay of Biscay. 64 Alongside the cay at La Corana. 64 Temptress sailing up the Tagus. 65 The invisible helmsman. 65 Approaching the Rock of Gilbraltar. 96 On a party to Spain. 96 A Spanish trading schooner. 97 Temptress on the slip. 97 The new and stouter mast. 128 Unstepping the old mast. 128 Off Palma a fishing boat comes alongside. 129 A fine sailing breeze. 129 Shooting the sun. 160 From the bowsprit. 160 During the gale off Cape Hatteras. 161 Temptress at City Island, New York. 161 CHAPTER 1 ENGLAND THE EVENING of August 27, 1948, was cold, and so muf fled up was I with oilskins and a towel round my neck that it was with some effort that I twisted round in the cockpit to gaze astern. The once friendly land of Cornwall was already but a thin gray line, and was dropping fast as Temptress lurched over the waves sent tumbling down theChannel be fore an easterly breeze. It was my departure from England. Settling myself more comfortably at the kicking tiller I sighed and said out loud, Well, Im off once more, and will not turn back this time. Not that I was feeling particularly brave, nor had I yet gained confidence in the boat. Indeed, she had only become mine a few months previously, and this was her first season afloat for ten years. Perhaps it was a bit foolhardy setting off direct for Gibraltar, but it was comforting to know that the French port of Brest could be used as a bolt hole for the next two days if anything alarming hap pened. At least the boat had had a shakedown cruise up Channel from Dartmouth to the Solent and back to Falmouth and Helf ord before setting forth on the ocean. 11 12 SINGLE-HANDED PASSAGE Morale Lad not been improved by the failure of my first attempt to reach Gibraltar the previous winter in the 20-ton cutter Content. Setting forth from Penzance at the end of November, I had waltzed into a series of biting gales. Vari ous gear had carried away, including the metal tiller jaws. This had left me with no means of steering for two and a half days, until repairs could be effected, during which time the loose rudder had worked open a seam in the lower part of the transom and water had poured in. Preferring to risk losing the yacht on a lee shore rather than foundering at sea, course had been set to return to England in a gale of wind with bad visibility. After a total of eight days at sea, the iron bound coast had been picked up shockingly close, but I man aged to scramble into some sort of shelter and anchor near Newlyn, too exhausted to enter harbour, and with the boat rolling ominouslywith tons of water in the bilges. I had had just enough strength to pump out before collapsing on my bunk. Repairs had taken some time in Penzance, the worst place I have ever met for yacht work. The firm, for some obscure reason, in spite of the fact that I had Lloyds millions behind me, insisted on payment before the work could be started, and finally we parted the best of enemies. In January, a friend and I bounced round the Lizard at night, over a ter rific swell, with the rigging lit up by the eerie blue light of St. Elmos Fire...",Edward C. Allcard,http://books.google.com/books/content?id=VVWr3gu4aJ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tomlin Press,2008-11,Travel
104983,Cupid's Arrow: The Course of Love through Time,"In this absorbing book, renowned psychologist Robert J. Sternberg presents a psychological approach to human relationships that reveals how and why people fall in and out of love. Fascinating reading for anyone who wants to learn more about love, Cupid's Arrow draws on fields ranging from history to cognitive science to folklore, offering a comprehensive account of love in its many forms. Grounded in Sternberg's own 'triangular theory', the book explores the many varieties of love as diffe",Robert J. Sternberg,http://books.google.com/books/content?id=IipTkVESEB0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Cambridge University Press,1998,Family & Relationships
73710,Finance for Managers (Harvard Business Essentials),"DON’T LET YOUR FEAR OF FINANCE GET IN THE WAY OF YOUR SUCCESS Can you prepare a breakeven analysis? Do you know the difference between an income statement and a balance sheet? Or understand why a business that’s profitable can still go belly-up? Has your grasp of your company’s numbers helped—or hurt—your career? Whether you’re new to finance or you just need a refresher, this go-to guide will give you the tools and confidence you need to master the fundamentals, as all good managers must. The HBR Guide to Finance Basics for Managers will help you: Learn the language of finance Compare your firm’s financials with rivals’ Shift your team’s focus from revenues to profits Assess your vulnerability to industry downturns Use financial data to defend budget requests Invest smartly through cost/benefit analysis",Harvard Business Review,http://books.google.com/books/content?id=VTIk5xU18R8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Harvard Business Review Press,2012-09-18,Business & Economics
186880,Mathematics: A Human Endeavor & Student Workbook,"For instructors of liberal arts mathematics classes who focus on problem-solving, Harold Jacobs's remarkable textbook has long been the answer, helping teachers connect with of math-anxious students. Drawing on over thirty years of classroom experience, Jacobs shows students how to make observations, discover relationships, and solve problems in the context of ordinary experience.",Harold R. Jacobs,http://books.google.com/books/content?id=zO4ApMb3B8QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Macmillan,1994-01-15,Mathematics
10339,Arctic Dreams: Imagination and Desire in a Northern Landscape,"This New York Times–bestselling exploration of the Arctic, a National Book Award winner, is “one of the finest books ever written about the far North” (Publishers Weekly). “The nation’s premier nature writer” travels to a landscape at once barren and beautiful, perilous and alluring, austere yet teeming with vibrant life, and shot through with human history (San Francisco Chronicle). The Arctic has for centuries been a destination for the most ambitious explorers—a place of dreams, fears, and awe-inspiring spectacle. This “dazzling” account by the author of Of Wolves and Men takes readers on a breathtaking journey into the heart of one of the world’s last frontiers (The New York Times). Based on Barry Lopez’s years spent traveling the Arctic regions in the company of Eskimo hunting parties and scientific expeditions alike, Arctic Dreams investigates the unique terrain of the human mind, thrown into relief against the vastness of the tundra and the frozen ocean. Eye-opening and profoundly moving, it is a magnificent appreciation of how wilderness challenges and inspires us. Renowned environmentalist and author of Desert Solitaire Edward Abbey has called Arctic Dreams “a splendid book . . . by a man who is both a first-rate writer and an uncompromising defender of the wild country and its native inhabitants”—and the New Yorker hails it as a “landmark” work of travel writing. A vivid, thoughtful, and atmospheric read, it has earned multiple prizes, including the National Book Award, the Christopher Medal, the Oregon Book Award, and a nomination for the National Book Critics Circle Award. This ebook features an illustrated biography of Barry Lopez including rare images and never-before-seen documents from the author’s personal collection.",Barry Lopez,http://books.google.com/books/content?id=Y-WxJYMD5HsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Open Road Media,2013-06-25,Nature
128266,Kahlo: 16 Art Stickers (Dover Art Stickers),"Compelling works by one of the 20th century's most provocative artists: The Broken Column, The Dead Dimas Rosas at the Age of Three, Self-Portrait with Monkey, and 13 others.",Frida Kahlo,http://books.google.com/books/content?id=EpsBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Courier Dover Publications,2000-10-12,Art
